t_mail,Column,Column [1],,Column [2],,Column [3],Column [4],Column [5],Column [6]
35000,lucky_ball,幸运彩球掉线中奖邮件,,1,7,您好，您的[几号球]彩球已中奖，由于您在幸运彩球事件中掉线，奖金[中奖金额]通过邮件方式发放，请查收。,0,432000,幸运彩球掉线邮件
#1v1,,,,,,,,,
35001,ranking_list1,初级场排名奖励,,1,7,恭喜玩家在1v1初级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35002,ranking_list2,中级场排名奖励,,1,7,恭喜玩家在1v1中级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35003,ranking_list3,高级场排名奖励,,1,7,恭喜玩家在1v1高级场获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
35004,ranking_list4,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1初级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35005,ranking_list5,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1中级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35006,ranking_list6,掉线或者提前退出邮件奖励,,1,7,恭喜玩家在1v1高级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,1v1单局获得奖励提前退出或掉线邮件奖励
35007,ranking_list7,平手奖励,,1,7,恭喜玩家在1v1初级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
35008,ranking_list8,平手奖励,,1,7,恭喜玩家在1v1中级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
35009,ranking_list9,平手奖励,,1,7,恭喜玩家在1v1高级场获得平手，本次奖励{%text}赏金石,0,432000,平手奖励
#无尽对决,,,,,,,,,
36000,endless_fight1,掉线邮件奖励,,1,7,恭喜玩家在无尽对决模式中获奖，本次奖励{%text}金币,0,432000,无尽对决掉线后中奖的邮件奖励
36001,endless_fight2,掉线邮件奖励,,1,7,恭喜玩家在无尽对决模式中获奖，本次奖励{%text}赏金石,0,432000,无尽对决掉线后中奖的邮件奖励
#奔驰宝马,,,,,,,,,
36100,mercedes_list1,掉线邮件奖励,,1,7,恭喜玩家在奔驰宝马金币场中获奖，本次奖励{%text}金币,0,432000,奔驰宝马掉线后中奖的邮件奖励
36101,mercedes_list2,掉线邮件奖励,,1,7,恭喜玩家在奔驰宝马赏金场中获奖，本次奖励{%text}赏金石,0,432000,奔驰宝马掉线后中奖的邮件奖励
#成长大作战,,,,,,,,,
37001,growth_battle1,成长大作战初级场排名奖励,,1,7,恭喜玩家在成长大作战初级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37002,growth_battle2,成长大作战中级场排名奖励,,1,7,恭喜玩家在成长大作战中级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37003,growth_battle3,成长大作战高级场排名奖励,,1,7,恭喜玩家在成长大作战高级场中获得每日排行第{%text}名，本次奖励{%text}赏金石,0,432000,
37004,growth_battle4,平手奖励,,1,7,恭喜玩家在成长大作战初级场获得平手，本次奖励{%text}赏金石,0,432000,
37005,growth_battle5,平手奖励,,1,7,恭喜玩家在成长大作战中级场获得平手，本次奖励{%text}赏金石,0,432000,
37006,growth_battle6,平手奖励,,1,7,恭喜玩家在成长大作战高级场获得平手，本次奖励{%text}赏金石,0,432000,
37007,growth_battle7,掉线邮件,,1,7,恭喜玩家在成长大作战初级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
37008,growth_battle8,掉线邮件,,1,7,恭喜玩家在成长大作战中级场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
37009,growth_battle9,掉线邮件,,1,7,恭喜玩家在成长大作战高级场场获得第{%text}名，本次奖励{%text}赏金石,0,432000,
