"reward,csv奖励表",,
int|key,str,str|useless
5106,"[[11,7000,10000],[2,70000,10000],[202,14,10000],[201,14,10000]]",
5107,"[[11,8000,10000],[2,80000,10000],[202,16,10000],[201,16,10000]]",
5108,"[[11,9000,10000],[2,90000,10000],[202,18,10000],[201,18,10000]]",
5109,"[[11,10000,10000],[2,100000,10000],[202,20,10000],[201,20,10000]]",
#升级奖励,,
6001,"[[52,100,10000],[2,10000,10000],[202,2,10000],[201,2,10000]]",
6002,"[[52,100,10000],[2,20000,10000],[202,2,10000],[201,2,10000]]",
6003,"[[52,100,10000],[2,30000,10000],[202,2,10000],[201,2,10001]]",
6004,"[[52,100,10000],[2,40000,10000],[202,2,10000],[201,2,10001]]",
6005,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10002]]",
6006,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10002]]",
6007,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10003]]",
6008,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000]]",
6009,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000]]",
6010,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000]]",
6011,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000]]",
#特殊升级奖励,,
6101,"[[52,100,10000],[2,10000,10000],[202,2,10000],[201,2,10000],[7902,1,10000]]",
6102,"[[52,100,10000],[2,20000,10000],[202,2,10000],[201,2,10000],[6002,1,10000]]",
6103,"[[52,100,10000],[2,20000,10000],[202,2,10000],[201,2,10000],[901,1,10000]]",
6104,"[[52,100,10000],[2,30000,10000],[202,2,10000],[201,2,10000],[7907,1,10000]]",
6105,"[[52,100,10000],[2,30000,10000],[202,2,10000],[201,2,10000],[6202,1,10000]]",
6106,"[[52,100,10000],[2,40000,10000],[202,2,10000],[201,2,10000],[907,1,10000]]",
6107,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[7908,1,10000]]",
6108,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[6203,1,10000]]",
6109,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[7910,1,10000]]",
6110,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[902,1,10000]]",
6111,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[6004,1,10000]]",
6112,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[7903,1,10000]]",
6113,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[6204,1,10000]]",
6114,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[6205,1,10000]]",
6115,"[[52,100,10000],[2,50000,10000],[202,2,10000],[201,2,10000],[6005,1,10000]]",
#英雄升星奖励,,
8010,"[[2101,1,10000],[7012,1,10000],[7013,1,10000]]",
8011,"[[702,1,10000]]",
8012,"[[7012,1,10000]]",
8013,"[[703,1,10000]]",
8014,"[[7013,1,10000]]",
8015,"[[704,1,10000]]",
8020,"[[2102,1,10000],[7022,1,10000],[7023,1,10000]]",
8021,"[[706,1,10000]]",
8022,"[[7022,1,10000]]",
8023,"[[707,1,10000]]",
8024,"[[7023,1,10000]]",
8025,"[[708,1,10000]]",
8030,"[[2103,1,10000],[7032,1,10000],[7033,1,10000]]",
8031,"[[710,1,10000]]",
8032,"[[7032,1,10000]]",
8033,"[[711,1,10000]]",
8034,"[[7033,1,10000]]",
8035,"[[712,1,10000]]",
8040,"[[2104,1,10000],[7042,1,10000],[7043,1,10000]]",
8041,"[[714,1,10000]]",
8042,"[[7042,1,10000]]",
8043,"[[715,1,10000]]",
8044,"[[7043,1,10000]]",
8045,"[[716,1,10000]]",
8050,"[[2105,1,10000],[7052,1,10000],[7053,1,10000]]",
8051,"[[718,1,10000]]",
8052,"[[7052,1,10000]]",
8053,"[[719,1,10000]]",
8054,"[[7053,1,10000]]",
8055,"[[720,1,10000]]",
8060,"[[2106,1,10000],[7062,1,10000],[7063,1,10000]]",
8061,"[[722,1,10000]]",
8062,"[[7062,1,10000]]",
8063,"[[723,1,10000]]",
8064,"[[7063,1,10000]]",
8065,"[[724,1,10000]]",
8070,"[[2107,1,10000],[7072,1,10000],[7073,1,10000]]",
8071,"[[726,1,10000]]",
8072,"[[7072,1,10000]]",
8073,"[[727,1,10000]]",
8074,"[[7073,1,10000]]",
8075,"[[728,1,10000]]",
8080,"[[2108,1,10000],[7082,1,10000],[7083,1,10000]]",
8081,"[[730,1,10000]]",
8082,"[[7082,1,10000]]",
8083,"[[731,1,10000]]",
8084,"[[7083,1,10000]]",
8085,"[[732,1,10000]]",
8090,"[[2109,1,10000],[7092,1,10000],[7093,1,10000]]",
8091,"[[734,1,10000]]",
8092,"[[7092,1,10000]]",
8093,"[[735,1,10000]]",
8094,"[[7093,1,10000]]",
8095,"[[736,1,10000]]",
8100,"[[2110,1,10000],[7102,1,10000],[7103,1,10000]]",
8101,"[[738,1,10000]]",
8102,"[[7102,1,10000]]",
8103,"[[739,1,10000]]",
8104,"[[7103,1,10000]]",
8105,"[[740,1,10000]]",
8110,"[[2111,1,10000],[7112,1,10000],[7113,1,10000]]",
8111,"[[742,1,10000]]",
8112,"[[7112,1,10000]]",
8113,"[[743,1,10000]]",
8114,"[[7113,1,10000]]",
8115,"[[744,1,10000]]",
8120,"[[2112,1,10000],[7121,1,10000],[7122,1,10000],[7123,1,10000],[7124,1,10000]]",
8121,"[[746,1,10000]]",
8122,"[[7122,1,10000]]",
8123,"[[747,1,10000]]",
8124,"[[7123,1,10000]]",
8125,"[[748,1,10000]]",
#图鉴相关奖励,,
9001,"[[2,1000,10000]]",
9002,"[[2,1000,10000]]",
9003,"[[2,1000,10000]]",
9004,"[[2,2000,10000]]",
9005,"[[2,2000,10000]]",
9006,"[[2,2000,10000]]",
9007,"[[2,5000,10000]]",
9008,"[[2,5000,10000]]",
9009,"[[2,5000,10000]]",
9010,"[[2,10000,10000]]",
9011,"[[2,2000,10000]]",
9012,"[[2,2000,10000]]",
9013,"[[2,2000,10000]]",
9014,"[[2,2000,10000]]",
9015,"[[2,5000,10000]]",
9016,"[[2,5000,10000]]",
9017,"[[2,5000,10000]]",
9018,"[[2,5000,10000]]",
9019,"[[2,10000,10000]]",
9020,"[[2,10000,10000]]",
9021,"[[2,10000,10000]]",
9022,"[[2,10000,10000]]",
9023,"[[2,20000,10000]]",
9024,"[[2,20000,10000]]",
9025,"[[2,5000,10000]]",
9026,"[[2,5000,10000]]",
9027,"[[2,5000,10000]]",
9028,"[[2,5000,10000]]",
9029,"[[2,10000,10000]]",
9030,"[[2,10000,10000]]",
9031,"[[2,10000,10000]]",
9032,"[[2,10000,10000]]",
9033,"[[2,20000,10000]]",
9034,"[[2,20000,10000]]",
9035,"[[2,20000,10000]]",
9036,"[[2,20000,10000]]",
9037,"[[2,50000,10000]]",
9038,"[[2,50000,10000]]",
9039,"[[2,50000,10000]]",
9041,"[[2,10000,10000]]",
9042,"[[2,10000,10000]]",
9043,"[[2,10000,10000]]",
9044,"[[2,10000,10000]]",
9045,"[[2,20000,10000]]",
9046,"[[2,20000,10000]]",
9047,"[[2,20000,10000]]",
9048,"[[2,20000,10000]]",
9049,"[[2,50000,10000]]",
9050,"[[2,50000,10000]]",
9051,"[[2,50000,10000]]",
9052,"[[2,50000,10000]]",
9053,"[[2,100000,10000]]",
9054,"[[2,100000,10000]]",
9055,"[[2,100000,10000]]",
9056,"[[2,100000,10000]]",
9059,"[[2,10000,10000]]",
9060,"[[2,10000,10000]]",
9061,"[[2,10000,10000]]",
9062,"[[2,10000,10000]]",
9063,"[[2,20000,10000]]",
9064,"[[2,20000,10000]]",
9065,"[[2,20000,10000]]",
9066,"[[2,20000,10000]]",
9067,"[[2,50000,10000]]",
9068,"[[2,50000,10000]]",
9069,"[[2,50000,10000]]",
9070,"[[2,50000,10000]]",
9071,"[[2,100000,10000]]",
9072,"[[2,100000,10000]]",
9074,"[[2,20000,10000]]",
9075,"[[2,20000,10000]]",
9076,"[[2,20000,10000]]",
9077,"[[2,20000,10000]]",
9078,"[[2,50000,10000]]",
9079,"[[2,50000,10000]]",
9080,"[[2,50000,10000]]",
9081,"[[2,50000,10000]]",
9082,"[[2,100000,10000]]",
9083,"[[2,100000,10000]]",
9084,"[[2,100000,10000]]",
9085,"[[2,100000,10000]]",
9086,"[[2,200000,10000]]",
9087,"[[2,200000,10000]]",
9088,"[[2,200000,10000]]",
9089,"[[2,200000,10000]]",
#图鉴标题奖励,,
9901,"[[2,1000000,0],[201,10,0],[202,10,0]]",
9902,"[[2,2000000,0],[201,20,0],[202,20,0]]",
9903,"[[2,3000000,0],[201,30,0],[202,30,0]]",
9904,"[[2,4000000,0],[202,40,0]]",
9905,"[[2,5000000,0],[202,50,0]]",
9906,"[[2,6000000,0],[201,60,0],[202,60,0]]",
9907,"[[2,7000000,0],[201,20,0],[202,20,0]]",
#世界场景固定奖励,,
10101,"[[11,1,1000],[201,1,14],[202,1,14]]",
10102,"[[11,1,1500],[201,1,16],[202,1,16]]",
10103,"[[11,1,2000],[201,1,18],[202,1,18]]",
10105,"[[11,1,3000],[201,1,22],[202,1,22]]",
10106,"[[11,1,3500],[201,1,24],[202,1,24]]",
10107,"[[11,1,4000],[201,1,26],[202,1,26]]",
10109,"[[11,1,5000],[201,1,30],[202,1,30]]",
10110,"[[11,1,6000],[201,1,34],[202,1,34]]",
10111,"[[11,1,7500],[201,1,40],[202,1,40]]",
10115,"[[11,3,10000],[201,1,130],[202,1,130]]",
10158,"[[11,10,10000],[201,1,410],[202,1,410]]",
10151,"[[201,1,83],[202,1,83]]",
10153,"[[201,1,90],[202,1,90]]",
10155,"[[201,1,139],[202,1,139]]",
10157,"[[201,1,157],[202,1,157]]",
10161,"[[201,1,83],[202,1,83]]",
10162,"[[201,1,241],[202,1,241]]",
10163,"[[201,1,139],[202,1,139]]",
10164,"[[201,1,83],[202,1,83]]",
10165,"[[201,1,12],[202,1,12]]",
10201,"[[11,10,1000],[201,1,14],[202,1,14]]",
10202,"[[11,10,1500],[201,1,16],[202,1,16]]",
10203,"[[11,10,2000],[201,1,18],[202,1,18]]",
10204,"[[11,10,2500],[201,1,20],[202,1,20]]",
10205,"[[11,10,3000],[201,1,22],[202,1,22]]",
10206,"[[11,10,3500],[201,1,24],[202,1,24]]",
10207,"[[11,10,4000],[201,1,26],[202,1,26]]",
10209,"[[11,10,5000],[201,1,30],[202,1,30]]",
10210,"[[11,10,6000],[201,1,34],[202,1,34]]",
10211,"[[11,10,7500],[201,1,40],[202,1,40]]",
10212,"[[11,10,10000],[201,1,50],[202,1,50]]",
10215,"[[11,30,10000],[201,1,130],[202,1,130]]",
10216,"[[11,50,9000],[201,1,190],[202,1,190]]",
10258,"[[11,100,10000],[201,1,410],[202,1,410]]",
10251,"[[201,1,83],[202,1,83]]",
10253,"[[201,1,90],[202,1,90]]",
10255,"[[201,1,139],[202,1,139]]",
10257,"[[201,1,157],[202,1,157]]",
10261,"[[201,1,83],[202,1,83]]",
10262,"[[201,1,241],[202,1,241]]",
10263,"[[201,1,139],[202,1,139]]",
10264,"[[201,1,83],[202,1,83]]",
10265,"[[201,1,12],[202,1,12]]",
10301,"[[11,100,1000],[201,1,14],[202,1,14]]",
10302,"[[11,100,1500],[201,1,16],[202,1,16]]",
10303,"[[11,100,2000],[201,1,18],[202,1,18]]",
10304,"[[11,100,2500],[201,1,20],[202,1,20]]",
10305,"[[11,100,3000],[201,1,22],[202,1,22]]",
10306,"[[11,100,3500],[201,1,24],[202,1,24]]",
10307,"[[11,100,4000],[201,1,26],[202,1,26]]",
10308,"[[11,100,4500],[201,1,28],[202,1,28]]",
10309,"[[11,100,5000],[201,1,30],[202,1,30]]",
10310,"[[11,100,6000],[201,1,34],[202,1,34]]",
10311,"[[11,100,7500],[201,1,40],[202,1,40]]",
10312,"[[11,100,10000],[201,1,50],[202,1,50]]",
10313,"[[11,200,7500],[201,1,70],[202,1,70]]",
10316,"[[11,500,9000],[201,1,190],[202,1,190]]",
10317,"[[11,600,10000],[201,1,250],[202,1,250]]",
10318,"[[11,500,11000],[201,1,230],[202,1,230]]",
10358,"[[11,1000,10000],[201,1,410],[202,1,410]]",
10351,"[[201,1,83],[202,1,83]]",
10353,"[[201,1,90],[202,1,90]]",
10355,"[[201,1,139],[202,1,139]]",
10357,"[[201,1,157],[202,1,157]]",
10361,"[[201,1,83],[202,1,83]]",
10362,"[[201,1,241],[202,1,241]]",
10363,"[[201,1,139],[202,1,139]]",
10364,"[[201,1,83],[202,1,83]]",
10365,"[[201,1,12],[202,1,12]]",
10401,"[[11,1000,1000],[201,1,14],[202,1,14]]",
10402,"[[11,1000,1500],[201,1,16],[202,1,16]]",
10403,"[[11,1000,2000],[201,1,18],[202,1,18]]",
10404,"[[11,1000,2500],[201,1,20],[202,1,20]]",
10405,"[[11,1000,3000],[201,1,22],[202,1,22]]",
10406,"[[11,1000,3500],[201,1,24],[202,1,24]]",
10407,"[[11,1000,4000],[201,1,26],[202,1,26]]",
10408,"[[11,1000,4500],[201,1,28],[202,1,28]]",
10409,"[[11,1000,5000],[201,1,30],[202,1,30]]",
10410,"[[11,1000,6000],[201,1,34],[202,1,34]]",
10411,"[[11,1000,7500],[201,1,40],[202,1,40]]",
10412,"[[11,1000,10000],[201,1,50],[202,1,50]]",
10413,"[[11,2000,7500],[201,1,70],[202,1,70]]",
10414,"[[11,2000,10000],[201,1,90],[202,1,90]]",
10417,"[[11,6000,10000],[201,1,250],[202,1,250]]",
10418,"[[11,5000,11000],[201,1,230],[202,1,230]]",
10419,"[[11,10000,11250],[201,1,460],[202,1,460]]",
10420,"[[11,15000,10000],[201,1,610],[202,1,610]]",
10458,"[[11,10000,10000],[201,1,410],[202,1,410]]",
10451,"[[201,1,83],[202,1,83]]",
10453,"[[201,1,90],[202,1,90]]",
10455,"[[201,1,139],[202,1,139]]",
10457,"[[201,1,157],[202,1,157]]",
10461,"[[201,1,83],[202,1,83]]",
10462,"[[201,1,241],[202,1,241]]",
10463,"[[201,1,139],[202,1,139]]",
10464,"[[201,1,83],[202,1,83]]",
10465,"[[201,1,12],[202,1,12]]",
10501,"[[11,10,1000],[201,1,14],[202,1,14]]",
10502,"[[11,10,1500],[201,1,16],[202,1,16]]",
10503,"[[11,10,2000],[201,1,18],[202,1,18]]",
10505,"[[11,10,3000],[201,1,22],[202,1,22]]",
10506,"[[11,10,3500],[201,1,24],[202,1,24]]",
10507,"[[11,10,4000],[201,1,26],[202,1,26]]",
10509,"[[11,10,5000],[201,1,30],[202,1,30]]",
10510,"[[11,10,6000],[201,1,34],[202,1,34]]",
10511,"[[11,10,7500],[201,1,40],[202,1,40]]",
10515,"[[11,30,10000],[201,1,130],[202,1,130]]",
10558,"[[11,100,10000],[201,1,410],[202,1,410]]",
10551,"[[201,1,83],[202,1,83]]",
10553,"[[201,1,90],[202,1,90]]",
10555,"[[201,1,139],[202,1,139]]",
10557,"[[201,1,157],[202,1,157]]",
10561,"[[201,1,83],[202,1,83]]",
10562,"[[201,1,241],[202,1,241]]",
10563,"[[201,1,139],[202,1,139]]",
10564,"[[201,1,83],[202,1,83]]",
10565,"[[201,1,12],[202,1,12]]",
10601,"[[11,100,1000],[201,1,14],[202,1,14]]",
10602,"[[11,100,1500],[201,1,16],[202,1,16]]",
10603,"[[11,100,2000],[201,1,18],[202,1,18]]",
10604,"[[11,100,2500],[201,1,20],[202,1,20]]",
10605,"[[11,100,3000],[201,1,22],[202,1,22]]",
10606,"[[11,100,3500],[201,1,24],[202,1,24]]",
10607,"[[11,100,4000],[201,1,26],[202,1,26]]",
10609,"[[11,100,5000],[201,1,30],[202,1,30]]",
10610,"[[11,100,6000],[201,1,34],[202,1,34]]",
10611,"[[11,100,7500],[201,1,40],[202,1,40]]",
10612,"[[11,100,10000],[201,1,50],[202,1,50]]",
10615,"[[11,300,10000],[201,1,130],[202,1,130]]",
10616,"[[11,500,9000],[201,1,190],[202,1,190]]",
10658,"[[11,1000,10000],[201,1,410],[202,1,410]]",
10651,"[[201,1,83],[202,1,83]]",
10653,"[[201,1,90],[202,1,90]]",
10655,"[[201,1,139],[202,1,139]]",
10657,"[[201,1,157],[202,1,157]]",
10661,"[[201,1,83],[202,1,83]]",
10662,"[[201,1,241],[202,1,241]]",
10663,"[[201,1,139],[202,1,139]]",
10664,"[[201,1,83],[202,1,83]]",
10665,"[[201,1,12],[202,1,12]]",
10701,"[[11,1000,1000],[201,1,14],[202,1,14]]",
10702,"[[11,1000,1500],[201,1,16],[202,1,16]]",
10703,"[[11,1000,2000],[201,1,18],[202,1,18]]",
10704,"[[11,1000,2500],[201,1,20],[202,1,20]]",
10705,"[[11,1000,3000],[201,1,22],[202,1,22]]",
10706,"[[11,1000,3500],[201,1,24],[202,1,24]]",
10707,"[[11,1000,4000],[201,1,26],[202,1,26]]",
10708,"[[11,1000,4500],[201,1,28],[202,1,28]]",
10709,"[[11,1000,5000],[201,1,30],[202,1,30]]",
10710,"[[11,1000,6000],[201,1,34],[202,1,34]]",
10711,"[[11,1000,7500],[201,1,40],[202,1,40]]",
10712,"[[11,1000,10000],[201,1,50],[202,1,50]]",
10713,"[[11,2000,7500],[201,1,70],[202,1,70]]",
10716,"[[11,5000,9000],[201,1,190],[202,1,190]]",
10717,"[[11,6000,10000],[201,1,250],[202,1,250]]",
10718,"[[11,5000,11000],[201,1,230],[202,1,230]]",
10758,"[[11,10000,10000],[201,1,410],[202,1,410]]",
10751,"[[201,1,83],[202,1,83]]",
10753,"[[201,1,90],[202,1,90]]",
10755,"[[201,1,139],[202,1,139]]",
10757,"[[201,1,157],[202,1,157]]",
10761,"[[201,1,83],[202,1,83]]",
10762,"[[201,1,241],[202,1,241]]",
10763,"[[201,1,139],[202,1,139]]",
10764,"[[201,1,83],[202,1,83]]",
10765,"[[201,1,12],[202,1,12]]",
10801,"[[11,10000,1000],[201,1,14],[202,1,14]]",
10802,"[[11,10000,1500],[201,1,16],[202,1,16]]",
10803,"[[11,10000,2000],[201,1,18],[202,1,18]]",
10804,"[[11,10000,2500],[201,1,20],[202,1,20]]",
10805,"[[11,10000,3000],[201,1,22],[202,1,22]]",
10806,"[[11,10000,3500],[201,1,24],[202,1,24]]",
10807,"[[11,10000,4000],[201,1,26],[202,1,26]]",
10808,"[[11,10000,4500],[201,1,28],[202,1,28]]",
10809,"[[11,10000,5000],[201,1,30],[202,1,30]]",
10810,"[[11,10000,6000],[201,1,34],[202,1,34]]",
10811,"[[11,10000,7500],[201,1,40],[202,1,40]]",
10812,"[[11,10000,10000],[201,1,50],[202,1,50]]",
10813,"[[11,20000,7500],[201,1,70],[202,1,70]]",
10814,"[[11,20000,10000],[201,1,90],[202,1,90]]",
10817,"[[11,60000,10000],[201,1,250],[202,1,250]]",
10818,"[[11,50000,11000],[201,1,230],[202,1,230]]",
10819,"[[11,100000,11250],[201,1,460],[202,1,460]]",
10820,"[[11,150000,10000],[201,1,610],[202,1,610]]",
10858,"[[11,100000,10000],[201,1,410],[202,1,410]]",
10851,"[[201,1,83],[202,1,83]]",
10853,"[[201,1,90],[202,1,90]]",
10855,"[[201,1,139],[202,1,139]]",
10857,"[[201,1,157],[202,1,157]]",
10861,"[[201,1,83],[202,1,83]]",
10862,"[[201,1,241],[202,1,241]]",
10863,"[[201,1,139],[202,1,139]]",
10864,"[[201,1,83],[202,1,83]]",
10865,"[[201,1,12],[202,1,12]]",
20101,"[[11,25,10000],[201,1,1010],[202,1,1010]]",
20102,"[[11,250,10000],[201,1,1010],[202,1,1010]]",
20103,"[[11,2500,10000],[201,1,1010],[202,1,1010]]",
20104,"[[11,25000,10000],[201,1,1010],[202,1,1010]]",
20105,"[[11,250,10000],[201,1,1010],[202,1,1010]]",
20106,"[[11,2500,10000],[201,1,1010],[202,1,1010]]",
20107,"[[11,25000,10000],[201,1,1010],[202,1,1010]]",
20108,"[[11,250000,10000],[201,1,1010],[202,1,1010]]",
20201,"[[11,50,10000],[201,1,2010],[202,1,2010]]",
20202,"[[11,500,10000],[201,1,2010],[202,1,2010]]",
20203,"[[11,5000,10000],[201,1,2010],[202,1,2010]]",
20204,"[[11,50000,10000],[201,1,2010],[202,1,2010]]",
20205,"[[11,500,10000],[201,1,2010],[202,1,2010]]",
20206,"[[11,5000,10000],[201,1,2010],[202,1,2010]]",
20207,"[[11,50000,10000],[201,1,2010],[202,1,2010]]",
20208,"[[11,500000,10000],[201,1,2010],[202,1,2010]]",
20301,"[[11,75,10000],[201,1,3010],[202,1,3010]]",
20302,"[[11,750,10000],[201,1,3010],[202,1,3010]]",
20303,"[[11,7500,10000],[201,1,3010],[202,1,3010]]",
20304,"[[11,75000,10000],[201,1,3010],[202,1,3010]]",
20305,"[[11,750,10000],[201,1,3010],[202,1,3010]]",
20306,"[[11,7500,10000],[201,1,3010],[202,1,3010]]",
20307,"[[11,75000,10000],[201,1,3010],[202,1,3010]]",
20308,"[[11,750000,10000],[201,1,3010],[202,1,3010]]",
20401,"[[11,100,10000],[201,1,4010],[202,1,4010]]",
20402,"[[11,1000,10000],[201,1,4010],[202,1,4010]]",
20403,"[[11,10000,10000],[201,1,4010],[202,1,4010]]",
20404,"[[11,100000,10000],[201,1,4010],[202,1,4010]]",
20405,"[[11,1000,10000],[201,1,4010],[202,1,4010]]",
20406,"[[11,10000,10000],[201,1,4010],[202,1,4010]]",
20407,"[[11,100000,10000],[201,1,4010],[202,1,4010]]",
20408,"[[11,1000000,10000],[201,1,4010],[202,1,4010]]",
#测试场景怪物,,
19999,"[[11,1,10000],[8501,1,10000],[202,1,10000],[201,1,10000],[60,1,10000]]",
#匹配场奖励1,,
50001,"[[52,3000,10000]]",
50002,"[[52,600,10000]]",
50003,"[[52,0,10000]]",
50004,"[[52,0,10000]]",
50005,"[[52,15000,10000]]",
50006,"[[52,3000,10000]]",
50007,"[[52,0,10000]]",
50008,"[[52,0,10000]]",
50009,"[[52,60000,10000]]",
50010,"[[52,12000,10000]]",
50011,"[[52,0,10000]]",
50012,"[[52,0,10000]]",
#主线任务奖励,,
60001,"[[52,200,10000],[2,10000,10000]]",
60002,"[[52,200,10000],[2,10000,10000]]",
60003,"[[52,200,10000],[2,10000,10000]]",
60004,"[[52,200,10000],[2,10000,10000]]",
60005,"[[52,200,10000],[2,10000,10000]]",
60006,"[[52,200,10000],[2,10000,10000]]",
60007,"[[52,200,10000],[2,10000,10000]]",
60008,"[[52,200,10000],[2,10000,10000]]",
60009,"[[52,200,10000],[2,10000,10000]]",
60010,"[[52,200,10000],[2,10000,10000]]",
60011,"[[52,200,10000],[2,10000,10000]]",
60012,"[[52,200,10000],[2,10000,10000]]",
60013,"[[52,200,10000],[2,10000,10000]]",
#每日任务进度奖励,,
70001,"[[2,10000,10000]]",
70002,"[[202,10,10000]]",
70003,"[[2,30000,10000]]",
70004,"[[201,20,10000]]",
70005,"[[2,50000,10000]]",
#怪物通用版本匹配场,,
81001,"[[201,1,14],[202,1,28]]",
81002,"[[201,1,16],[202,1,32]]",
81003,"[[201,1,18],[202,1,36]]",
81004,"[[201,1,20],[202,1,40]]",
81005,"[[201,1,22],[202,1,44]]",
81006,"[[201,1,24],[202,1,48]]",
81007,"[[201,1,26],[202,1,52]]",
81008,"[[201,1,28],[202,1,56]]",
81009,"[[201,1,30],[202,1,60]]",
81010,"[[201,1,34],[202,1,68]]",
81011,"[[201,1,50],[202,1,100]]",
81012,"[[201,1,70],[202,1,140]]",
81013,"[[201,1,130],[202,1,260]]",
81014,"[[201,1,190],[202,1,380]]",
81015,"[[201,1,310],[202,1,620]]",
81016,"[[201,1,460],[202,1,920]]",
81058,"[[201,1,410],[202,1,820]]",
81051,"[[201,1,83],[202,1,166]]",
81052,"[[201,1,90],[202,1,180]]",
81053,"[[201,1,90],[202,1,180]]",
81054,"[[201,1,130],[202,1,260]]",
81055,"[[201,1,139],[202,1,278]]",
81056,"[[201,1,210],[202,1,420]]",
81057,"[[201,1,157],[202,1,314]]",
81061,"[[201,1,83],[202,1,166]]",
81062,"[[201,1,241],[202,1,483]]",
81063,"[[201,1,139],[202,1,278]]",
81064,"[[201,1,83],[202,1,166]]",
81065,"[[201,1,12],[202,1,24]]",
82151,"[[201,1,1010],[202,1,2020]]",
82251,"[[201,1,2010],[202,1,4020]]",
#1v1奖励,,
90001,"[[52,196,10000]]",
90002,"[[52,980,10000]]",
90003,"[[52,3920,10000]]",
90004,"[[52,400,10000]]",
90005,"[[52,2000,10000]]",
90006,"[[52,8000,10000]]",
90007,"[[52,100,10000]]",
90008,"[[52,500,10000]]",
90009,"[[52,2000,10000]]",
90010,"[[52,40,10000]]",
90011,"[[52,200,10000]]",
90012,"[[52,800,10000]]",
#成长大作战,,
100000,"[[52,196,10000]]",
100001,"[[52,980,10000]]",
100002,"[[52,3920,10000]]",
100003,"[[52,400,10000]]",
100004,"[[52,2000,10000]]",
100005,"[[52,8000,10000]]",
100006,"[[52,100,10000]]",
100007,"[[52,500,10000]]",
100008,"[[52,2000,10000]]",
100009,"[[52,40,10000]]",
100010,"[[52,200,10000]]",
100011,"[[52,800,10000]]",
